,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AMC,BB,CLOV,GME,NOK,AMC,BB,CLOV,GME,NOK,AMC,BB,CLOV,GME,NOK,AMC,BB,CLOV,GME,NOK,AMC,BB,CLOV,GME,NOK,AMC,BB,CLOV,GME,NOK
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-17 09:30:00-04:00,53.86000061035156,12.770000457763672,13.149999618530273,222.25999450683594,5.160099983215332,53.86000061035156,12.770000457763672,13.149999618530273,222.25999450683594,5.160099983215332,54.63999938964844,12.789999961853027,13.149999618530273,224.39999389648438,5.170000076293945,53.54999923706055,12.59000015258789,12.90999984741211,221.8000030517578,5.139999866485596,54.0,12.65999984741211,12.960000038146973,224.0,5.150000095367432,7049870,1408587,631415,133895,1250100
2021-06-17 09:31:00-04:00,53.45000076293945,12.778499603271484,13.270000457763672,223.6300048828125,5.1682000160217285,53.45000076293945,12.778499603271484,13.270000457763672,223.6300048828125,5.1682000160217285,54.470001220703125,12.78499984741211,13.319999694824219,224.0,5.170000076293945,53.2599983215332,12.65999984741211,13.119999885559082,221.47999572753906,5.159999847412109,53.86750030517578,12.770000457763672,13.14840030670166,221.7366943359375,5.163400173187256,867081,237295,310790,16466,22368
2021-06-17 09:32:00-04:00,53.82059860229492,12.850000381469727,13.220100402832031,224.0,5.186600208282471,53.82059860229492,12.850000381469727,13.220100402832031,224.0,5.186600208282471,54.220001220703125,12.899999618530273,13.3100004196167,224.1846923828125,5.195000171661377,53.11000061035156,12.75,13.149999618530273,222.72999572753906,5.168099880218506,53.45000076293945,12.770000457763672,13.279999732971191,223.6300048828125,5.168099880218506,699396,319994,235613,10840,618532
2021-06-17 09:33:00-04:00,54.63999938964844,12.79010009765625,13.245599746704102,224.8800048828125,5.1890997886657715,54.63999938964844,12.79010009765625,13.245599746704102,224.8800048828125,5.1890997886657715,55.099998474121094,12.869999885559082,13.350000381469727,224.8800048828125,5.190000057220459,53.810001373291016,12.789999961853027,13.220000267028809,223.1300048828125,5.179999828338623,53.820098876953125,12.840299606323242,13.239999771118164,224.2288055419922,5.190000057220459,1104919,150806,235728,18055,48617
2021-06-17 09:34:00-04:00,54.290000915527344,12.75,13.272299766540527,225.61500549316406,5.179999828338623,54.290000915527344,12.75,13.272299766540527,225.61500549316406,5.179999828338623,55.119998931884766,12.880000114440918,13.289999961853027,226.89999389648438,5.190000057220459,54.2599983215332,12.7052001953125,13.220000267028809,224.6826934814453,5.179999828338623,54.630001068115234,12.795000076293945,13.239999771118164,224.90350341796875,5.190000057220459,1060486,175603,151463,54273,102337
2021-06-17 09:35:00-04:00,54.1599006652832,12.936699867248535,13.406599998474121,225.5493927001953,5.198699951171875,54.1599006652832,12.936699867248535,13.406599998474121,225.5493927001953,5.198699951171875,54.42639923095703,12.9399995803833,13.420000076293945,225.7884063720703,5.199999809265137,53.81999969482422,12.751999855041504,13.246500015258789,224.5,5.179999828338623,54.288700103759766,12.751999855041504,13.263500213623047,225.3112030029297,5.184999942779541,652802,250528,283026,24224,289381
2021-06-17 09:36:00-04:00,53.85749816894531,12.912500381469727,13.354000091552734,225.69920349121094,5.190000057220459,53.85749816894531,12.912500381469727,13.354000091552734,225.69920349121094,5.190000057220459,54.279998779296875,12.970000267028809,13.4399995803833,226.43600463867188,5.199999809265137,53.654998779296875,12.890000343322754,13.319999694824219,225.05999755859375,5.190000057220459,54.15999984741211,12.9399995803833,13.420000076293945,225.75799560546875,5.195000171661377,593620,188592,184093,19472,85553
2021-06-17 09:37:00-04:00,53.9099006652832,12.949999809265137,13.359999656677246,226.3000030517578,5.215000152587891,53.9099006652832,12.949999809265137,13.359999656677246,226.3000030517578,5.215000152587891,54.130001068115234,12.970000267028809,13.359999656677246,226.41000366210938,5.2164998054504395,53.5,12.899999618530273,13.229999542236328,224.7100067138672,5.190000057220459,53.85689926147461,12.917699813842773,13.350000381469727,225.6300048828125,5.199900150299072,574469,110283,128386,18855,735915
