,,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,0,BB210625C00004500,2021-06-24 14:39:44,4.5,8.7,7.45,8.0,0.0,0.0,1.0,33.0,14.343751035156252,True,REGULAR,USD
CALLS,1,BB210625C00005000,2021-06-23 18:32:48,5.0,8.1,7.0,7.4,0.0,0.0,1.0,8.0,12.593752128906253,True,REGULAR,USD
CALLS,2,BB210625C00005500,2021-06-24 15:10:46,5.5,6.82,6.4,6.75,-0.6799998,-9.066665,2.0,32.0,9.21875423828125,True,REGULAR,USD
CALLS,3,BB210625C00006000,2021-06-24 13:56:01,6.0,7.25,6.0,6.25,0.0,0.0,2.0,37.0,9.21875423828125,True,REGULAR,USD
CALLS,4,BB210625C00006500,2021-06-18 15:59:21,6.5,6.7,5.35,5.6,0.0,0.0,2.0,9.0,7.9062501171875,True,REGULAR,USD
CALLS,5,BB210625C00007000,2021-06-25 13:49:09,7.0,5.15,4.9,5.15,-0.53999996,-9.490334,4.0,80.0,5.62500296875,True,REGULAR,USD
CALLS,6,BB210625C00007500,2021-06-24 17:38:10,7.5,4.7,4.5,4.7,-0.6500001,-12.149534,4.0,46.0,6.3437520703125,True,REGULAR,USD
CALLS,7,BB210625C00008000,2021-06-25 13:33:44,8.0,4.1,3.9,4.1,-0.5999999,-12.765956,3.0,178.0,3.6250009375000003,True,REGULAR,USD
CALLS,8,BB210625C00008500,2021-06-24 19:45:44,8.5,3.8,3.5,3.6,-0.39999986,-9.523807,2.0,448.0,4.2812546484375,True,REGULAR,USD
CALLS,9,BB210625C00009000,2021-06-25 13:33:08,9.0,3.25,2.89,2.94,-0.46000004,-12.398923,4.0,468.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,10,BB210625C00009500,2021-06-25 13:55:17,9.5,2.6,2.41,2.48,-0.60000014,-18.750004,27.0,358.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,11,BB210625C00010000,2021-06-25 13:57:47,10.0,1.92,1.95,1.99,-0.7800001,-28.888893,122.0,2844.0,1.000005,True,REGULAR,USD
