,,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,0,AMC210806C00005000,2021-08-05 18:32:29,5.0,29.0,0.0,0.0,0.0,0.0,98.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,1,AMC210806C00010000,2021-08-05 19:44:34,10.0,23.35,0.0,0.0,0.0,0.0,252.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2,AMC210806C00015000,2021-08-05 19:58:33,15.0,18.5,0.0,0.0,0.0,0.0,458.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,3,AMC210806C00019000,2021-08-05 19:19:17,19.0,14.25,0.0,0.0,0.0,0.0,177.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,4,AMC210806C00020000,2021-08-05 19:33:09,20.0,13.25,0.0,0.0,0.0,0.0,447.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,5,AMC210806C00021000,2021-08-05 19:13:52,21.0,12.16,0.0,0.0,0.0,0.0,84.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,6,AMC210806C00022000,2021-08-05 19:32:43,22.0,11.19,0.0,0.0,0.0,0.0,145.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,7,AMC210806C00023000,2021-08-05 19:57:40,23.0,10.4,0.0,0.0,0.0,0.0,70.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,8,AMC210806C00024000,2021-08-05 19:13:31,24.0,9.1,0.0,0.0,0.0,0.0,116.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,9,AMC210806C00025000,2021-08-05 19:15:13,25.0,8.45,0.0,0.0,0.0,0.0,463.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,10,AMC210806C00026000,2021-08-05 19:58:35,26.0,7.4,0.0,0.0,0.0,0.0,393.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,11,AMC210806C00027000,2021-08-05 19:55:55,27.0,6.45,0.0,0.0,0.0,0.0,561.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,12,AMC210806C00028000,2021-08-05 19:57:42,28.0,5.5,0.0,0.0,0.0,0.0,2268.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,13,AMC210806C00029000,2021-08-05 19:59:17,29.0,4.6,0.0,0.0,0.0,0.0,5664.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,14,AMC210806C00030000,2021-08-05 19:58:43,30.0,3.71,0.0,0.0,0.0,0.0,18796.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,15,AMC210806C00031000,2021-08-05 19:59:38,31.0,2.88,0.0,0.0,0.0,0.0,23402.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,16,AMC210806C00032000,2021-08-05 19:59:57,32.0,2.11,0.0,0.0,0.0,0.0,38591.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,17,AMC210806C00033000,2021-08-05 19:59:48,33.0,1.46,0.0,0.0,0.0,0.0,37155.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,18,AMC210806C00034000,2021-08-05 19:59:58,34.0,1.01,0.0,0.0,0.0,0.0,49826.0,0,0.062509375,False,REGULAR,USD
CALLS,19,AMC210806C00035000,2021-08-05 19:59:58,35.0,0.66,0.0,0.0,0.0,0.0,36966.0,0,0.2500075,False,REGULAR,USD
CALLS,20,AMC210806C00036000,2021-08-05 19:59:37,36.0,0.43,0.0,0.0,0.0,0.0,19139.0,0,0.500005,False,REGULAR,USD
CALLS,21,AMC210806C00037000,2021-08-05 19:59:57,37.0,0.29,0.0,0.0,0.0,0.0,22312.0,0,0.500005,False,REGULAR,USD
CALLS,22,AMC210806C00038000,2021-08-05 19:59:59,38.0,0.21,0.0,0.0,0.0,0.0,12223.0,0,0.500005,False,REGULAR,USD
CALLS,23,AMC210806C00039000,2021-08-05 19:58:19,39.0,0.16,0.0,0.0,0.0,0.0,6768.0,0,0.500005,False,REGULAR,USD
CALLS,24,AMC210806C00040000,2021-08-05 19:59:59,40.0,0.13,0.0,0.0,0.0,0.0,22661.0,0,0.500005,False,REGULAR,USD
CALLS,25,AMC210806C00041000,2021-08-05 19:59:56,41.0,0.1,0.0,0.0,0.0,0.0,3217.0,0,0.500005,False,REGULAR,USD
CALLS,26,AMC210806C00042000,2021-08-05 19:59:13,42.0,0.09,0.0,0.0,0.0,0.0,3182.0,0,0.500005,False,REGULAR,USD
CALLS,27,AMC210806C00043000,2021-08-05 19:59:27,43.0,0.08,0.0,0.0,0.0,0.0,2317.0,0,0.500005,False,REGULAR,USD
CALLS,28,AMC210806C00044000,2021-08-05 19:59:27,44.0,0.07,0.0,0.0,0.0,0.0,1054.0,0,0.500005,False,REGULAR,USD
CALLS,29,AMC210806C00045000,2021-08-05 19:59:58,45.0,0.07,0.0,0.0,0.0,0.0,10194.0,0,0.500005,False,REGULAR,USD
CALLS,30,AMC210806C00046000,2021-08-05 19:58:24,46.0,0.06,0.0,0.0,0.0,0.0,774.0,0,0.500005,False,REGULAR,USD
CALLS,31,AMC210806C00047000,2021-08-05 19:59:49,47.0,0.05,0.0,0.0,0.0,0.0,851.0,0,0.500005,False,REGULAR,USD
CALLS,32,AMC210806C00048000,2021-08-05 19:59:29,48.0,0.05,0.0,0.0,0.0,0.0,589.0,0,0.500005,False,REGULAR,USD
CALLS,33,AMC210806C00049000,2021-08-05 19:48:43,49.0,0.04,0.0,0.0,0.0,0.0,551.0,0,0.500005,False,REGULAR,USD
CALLS,34,AMC210806C00050000,2021-08-05 19:59:41,50.0,0.05,0.0,0.0,0.0,0.0,4111.0,0,0.500005,False,REGULAR,USD
CALLS,35,AMC210806C00051000,2021-08-05 19:57:42,51.0,0.05,0.0,0.0,0.0,0.0,986.0,0,1.000005,False,REGULAR,USD
CALLS,36,AMC210806C00052000,2021-08-05 19:58:07,52.0,0.04,0.0,0.0,0.0,0.0,200.0,0,0.500005,False,REGULAR,USD
CALLS,37,AMC210806C00053000,2021-08-05 19:47:59,53.0,0.03,0.0,0.0,0.0,0.0,441.0,0,0.500005,False,REGULAR,USD
CALLS,38,AMC210806C00053500,2021-08-05 19:52:46,53.5,0.03,0.0,0.0,0.0,0.0,134.0,0,0.500005,False,REGULAR,USD
CALLS,39,AMC210806C00054000,2021-08-05 19:59:58,54.0,0.03,0.0,0.0,0.0,0.0,252.0,0,0.500005,False,REGULAR,USD
CALLS,40,AMC210806C00054500,2021-08-05 19:30:55,54.5,0.03,0.0,0.0,0.0,0.0,88.0,0,0.500005,False,REGULAR,USD
CALLS,41,AMC210806C00055000,2021-08-05 19:58:29,55.0,0.03,0.0,0.0,0.0,0.0,652.0,0,0.500005,False,REGULAR,USD
CALLS,42,AMC210806C00055500,2021-08-05 19:45:38,55.5,0.03,0.0,0.0,0.0,0.0,267.0,0,0.500005,False,REGULAR,USD
CALLS,43,AMC210806C00056000,2021-08-05 19:50:08,56.0,0.04,0.0,0.0,0.0,0.0,164.0,0,0.500005,False,REGULAR,USD
CALLS,44,AMC210806C00056500,2021-08-05 19:48:03,56.5,0.03,0.0,0.0,0.0,0.0,62.0,0,0.500005,False,REGULAR,USD
CALLS,45,AMC210806C00057000,2021-08-05 19:47:37,57.0,0.03,0.0,0.0,0.0,0.0,460.0,0,0.500005,False,REGULAR,USD
