,,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,0,GME210514C00010000,2021-05-13 17:56:47,10.0,153.25,147.1,156.1,0.0,0.0,1.0,2,35.39062947021485,True,REGULAR,USD
CALLS,1,GME210514C00020000,2021-04-23 19:59:56,20.0,131.15,137.1,146.1,0.0,0.0,200.0,0,25.36718957275391,True,REGULAR,USD
CALLS,2,GME210514C00030000,2021-05-11 19:39:36,30.0,120.3,128.95,132.1,0.0,0.0,1.0,3,16.39062987792969,True,REGULAR,USD
CALLS,3,GME210514C00040000,2021-05-12 17:08:07,40.0,125.15,119.0,122.1,0.0,0.0,16.0,25,13.726563920898437,True,REGULAR,USD
CALLS,4,GME210514C00050000,2021-05-12 17:08:07,50.0,98.02,109.0,112.05,0.0,0.0,2.0,67,11.523440297851563,True,REGULAR,USD
CALLS,5,GME210514C00060000,2021-05-13 18:10:03,60.0,105.14,99.0,102.1,0.0,0.0,8.0,34,9.90625380859375,True,REGULAR,USD
CALLS,6,GME210514C00070000,2021-05-12 17:08:07,70.0,82.7,89.1,92.1,0.0,0.0,2.0,31,8.601567124023438,True,REGULAR,USD
CALLS,7,GME210514C00080000,2021-05-11 14:32:58,80.0,72.7,79.1,82.1,0.0,0.0,1.0,117,7.351563310546874,True,REGULAR,USD
CALLS,8,GME210514C00090000,2021-05-13 19:36:06,90.0,76.56,68.95,72.1,0.0,0.0,3.0,2,6.089846137695313,True,REGULAR,USD
CALLS,9,GME210514C00100000,2021-05-13 16:17:54,100.0,66.32,59.0,61.85,0.0,0.0,26.0,57,4.921878847656249,True,REGULAR,USD
CALLS,10,GME210514C00110000,2021-05-14 16:34:01,110.0,50.12,49.0,52.05,6.489998,14.875081,3.0,44,4.214848481445312,True,REGULAR,USD
CALLS,11,GME210514C00120000,2021-05-13 19:31:59,120.0,47.0,38.95,42.05,0.0,0.0,7.0,35,3.3476578808593747,True,REGULAR,USD
CALLS,12,GME210514C00130000,2021-05-14 15:49:50,130.0,32.67,30.35,32.05,-1.7200012,-5.001457,7.0,94,3.1738301904296877,True,REGULAR,USD
CALLS,13,GME210514C00140000,2021-05-14 17:44:28,140.0,21.08,20.5,21.75,-4.870001,-18.766863,99.0,347,2.252934055175781,True,REGULAR,USD
CALLS,14,GME210514C00145000,2021-05-14 17:40:52,145.0,16.2,15.55,17.0,-3.5,-17.766497,211.0,535,1.8984380078125,True,REGULAR,USD
CALLS,15,GME210514C00146000,2021-05-14 17:46:29,146.0,13.7,13.15,16.05,-5.8,-29.743591,17.0,304,1.4277372363281249,True,REGULAR,USD
CALLS,16,GME210514C00147000,2021-05-14 16:18:42,147.0,14.3,13.0,15.1,-4.499999,-23.936167,35.0,279,1.6064472802734375,True,REGULAR,USD
CALLS,17,GME210514C00148000,2021-05-14 17:34:30,148.0,13.0,12.25,14.35,-3.6499996,-21.92192,35.0,167,1.640626796875,True,REGULAR,USD
CALLS,18,GME210514C00149000,2021-05-14 17:17:31,149.0,11.4,11.5,13.05,-4.3,-27.388536,32.0,223,1.5380882470703123,True,REGULAR,USD
