,,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,0,AMC210723C00005000,2021-07-22 19:58:50,5.0,32.0,0.0,0.0,0.0,0.0,48,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,1,AMC210723C00010000,2021-07-22 19:42:34,10.0,27.55,0.0,0.0,0.0,0.0,7,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2,AMC210723C00015000,2021-07-22 19:53:41,15.0,22.4,0.0,0.0,0.0,0.0,76,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,3,AMC210723C00020000,2021-07-22 19:57:11,20.0,17.25,0.0,0.0,0.0,0.0,165,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,4,AMC210723C00022000,2021-07-22 19:45:15,22.0,15.6,0.0,0.0,0.0,0.0,65,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,5,AMC210723C00023000,2021-07-22 19:42:55,23.0,14.6,0.0,0.0,0.0,0.0,78,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,6,AMC210723C00024000,2021-07-22 18:07:16,24.0,14.05,0.0,0.0,0.0,0.0,94,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,7,AMC210723C00025000,2021-07-22 19:56:11,25.0,12.35,0.0,0.0,0.0,0.0,126,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,8,AMC210723C00026000,2021-07-22 19:37:05,26.0,11.55,0.0,0.0,0.0,0.0,79,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,9,AMC210723C00027000,2021-07-22 19:28:53,27.0,10.7,0.0,0.0,0.0,0.0,235,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,10,AMC210723C00028000,2021-07-22 19:26:34,28.0,9.75,0.0,0.0,0.0,0.0,120,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,11,AMC210723C00029000,2021-07-22 19:45:34,29.0,8.75,0.0,0.0,0.0,0.0,123,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,12,AMC210723C00030000,2021-07-22 19:59:56,30.0,7.43,0.0,0.0,0.0,0.0,261,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,13,AMC210723C00031000,2021-07-22 19:51:41,31.0,6.6,0.0,0.0,0.0,0.0,113,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,14,AMC210723C00032000,2021-07-22 19:59:35,32.0,5.3,0.0,0.0,0.0,0.0,227,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,15,AMC210723C00033000,2021-07-22 19:52:40,33.0,4.64,0.0,0.0,0.0,0.0,269,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,16,AMC210723C00034000,2021-07-22 19:59:56,34.0,3.54,0.0,0.0,0.0,0.0,768,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,17,AMC210723C00035000,2021-07-22 19:59:33,35.0,2.64,0.0,0.0,0.0,0.0,2703,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,18,AMC210723C00036000,2021-07-22 19:59:29,36.0,1.97,0.0,0.0,0.0,0.0,4592,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,19,AMC210723C00037000,2021-07-22 19:59:55,37.0,1.37,0.0,0.0,0.0,0.0,9093,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,20,AMC210723C00038000,2021-07-22 20:00:00,38.0,0.96,0.0,0.0,0.0,0.0,29968,0,0.12500875,False,REGULAR,USD
CALLS,21,AMC210723C00039000,2021-07-22 19:59:57,39.0,0.67,0.0,0.0,0.0,0.0,30154,0,0.2500075,False,REGULAR,USD
CALLS,22,AMC210723C00040000,2021-07-22 19:59:59,40.0,0.45,0.0,0.0,0.0,0.0,56172,0,0.500005,False,REGULAR,USD
CALLS,23,AMC210723C00041000,2021-07-22 19:59:57,41.0,0.32,0.0,0.0,0.0,0.0,28608,0,0.500005,False,REGULAR,USD
CALLS,24,AMC210723C00042000,2021-07-22 19:59:51,42.0,0.22,0.0,0.0,0.0,0.0,20402,0,0.500005,False,REGULAR,USD
CALLS,25,AMC210723C00043000,2021-07-22 19:59:56,43.0,0.16,0.0,0.0,0.0,0.0,15386,0,0.500005,False,REGULAR,USD
CALLS,26,AMC210723C00044000,2021-07-22 19:59:39,44.0,0.13,0.0,0.0,0.0,0.0,10619,0,0.500005,False,REGULAR,USD
CALLS,27,AMC210723C00045000,2021-07-22 19:59:59,45.0,0.1,0.0,0.0,0.0,0.0,26422,0,0.500005,False,REGULAR,USD
CALLS,28,AMC210723C00046000,2021-07-22 19:59:53,46.0,0.09,0.0,0.0,0.0,0.0,12810,0,0.500005,False,REGULAR,USD
CALLS,29,AMC210723C00047000,2021-07-22 19:59:58,47.0,0.07,0.0,0.0,0.0,0.0,4245,0,0.500005,False,REGULAR,USD
CALLS,30,AMC210723C00048000,2021-07-22 19:59:58,48.0,0.08,0.0,0.0,0.0,0.0,7297,0,0.500005,False,REGULAR,USD
CALLS,31,AMC210723C00049000,2021-07-22 19:59:48,49.0,0.07,0.0,0.0,0.0,0.0,2874,0,0.500005,False,REGULAR,USD
CALLS,32,AMC210723C00050000,2021-07-22 19:59:58,50.0,0.07,0.0,0.0,0.0,0.0,15759,0,0.500005,False,REGULAR,USD
CALLS,33,AMC210723C00051000,2021-07-22 19:59:42,51.0,0.06,0.0,0.0,0.0,0.0,4314,0,0.500005,False,REGULAR,USD
CALLS,34,AMC210723C00052000,2021-07-22 19:59:17,52.0,0.05,0.0,0.0,0.0,0.0,2203,0,0.500005,False,REGULAR,USD
CALLS,35,AMC210723C00053000,2021-07-22 19:58:57,53.0,0.05,0.0,0.0,0.0,0.0,2999,0,0.500005,False,REGULAR,USD
CALLS,36,AMC210723C00054000,2021-07-22 19:59:47,54.0,0.05,0.0,0.0,0.0,0.0,2240,0,0.500005,False,REGULAR,USD
CALLS,37,AMC210723C00055000,2021-07-22 19:59:45,55.0,0.05,0.0,0.0,0.0,0.0,5413,0,0.500005,False,REGULAR,USD
CALLS,38,AMC210723C00056000,2021-07-22 19:58:22,56.0,0.04,0.0,0.0,0.0,0.0,510,0,1.000005,False,REGULAR,USD
CALLS,39,AMC210723C00057000,2021-07-22 19:58:38,57.0,0.04,0.0,0.0,0.0,0.0,687,0,0.500005,False,REGULAR,USD
CALLS,40,AMC210723C00057500,2021-07-22 19:48:40,57.5,0.04,0.0,0.0,0.0,0.0,2665,0,1.000005,False,REGULAR,USD
CALLS,41,AMC210723C00058000,2021-07-22 19:58:25,58.0,0.03,0.0,0.0,0.0,0.0,577,0,0.500005,False,REGULAR,USD
CALLS,42,AMC210723C00058500,2021-07-22 19:50:04,58.5,0.03,0.0,0.0,0.0,0.0,207,0,0.500005,False,REGULAR,USD
CALLS,43,AMC210723C00059000,2021-07-22 19:46:32,59.0,0.04,0.0,0.0,0.0,0.0,844,0,0.500005,False,REGULAR,USD
CALLS,44,AMC210723C00059500,2021-07-22 19:44:23,59.5,0.05,0.0,0.0,0.0,0.0,252,0,0.500005,False,REGULAR,USD
CALLS,45,AMC210723C00060000,2021-07-22 19:59:52,60.0,0.03,0.0,0.0,0.0,0.0,5624,0,0.500005,False,REGULAR,USD
CALLS,46,AMC210723C00060500,2021-07-22 19:59:23,60.5,0.03,0.0,0.0,0.0,0.0,966,0,0.500005,False,REGULAR,USD
CALLS,47,AMC210723C00061000,2021-07-22 19:57:20,61.0,0.03,0.0,0.0,0.0,0.0,284,0,0.500005,False,REGULAR,USD
CALLS,48,AMC210723C00061500,2021-07-22 19:59:52,61.5,0.02,0.0,0.0,0.0,0.0,60,0,0.500005,False,REGULAR,USD
CALLS,49,AMC210723C00062000,2021-07-22 19:49:02,62.0,0.03,0.0,0.0,0.0,0.0,166,0,0.500005,False,REGULAR,USD
CALLS,50,AMC210723C00062500,2021-07-22 19:52:12,62.5,0.06,0.0,0.0,0.0,0.0,213,0,0.500005,False,REGULAR,USD
CALLS,51,AMC210723C00063000,2021-07-22 18:54:18,63.0,0.05,0.0,0.0,0.0,0.0,86,0,0.500005,False,REGULAR,USD
