,,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,0,AMC210716C00001000,2021-07-15 19:56:48,1.0,35.0,0.0,0.0,0.0,0.0,97,182,1.0000000000000003e-05,True,REGULAR,USD
CALLS,1,AMC210716C00002000,2021-07-15 19:56:46,2.0,33.95,0.0,0.0,0.0,0.0,52,116,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2,AMC210716C00003000,2021-07-15 18:03:23,3.0,30.6,0.0,0.0,0.0,0.0,48,54,1.0000000000000003e-05,True,REGULAR,USD
CALLS,3,AMC210716C00004000,2021-07-15 19:59:15,4.0,32.05,0.0,0.0,0.0,0.0,76,115,1.0000000000000003e-05,True,REGULAR,USD
CALLS,4,AMC210716C00005000,2021-07-15 19:46:36,5.0,31.1,0.0,0.0,0.0,0.0,61,72,1.0000000000000003e-05,True,REGULAR,USD
CALLS,5,AMC210716C00006000,2021-07-15 19:02:49,6.0,29.9,0.0,0.0,0.0,0.0,75,136,1.0000000000000003e-05,True,REGULAR,USD
CALLS,6,AMC210716C00007000,2021-07-15 19:21:19,7.0,29.0,0.0,0.0,0.0,0.0,63,187,1.0000000000000003e-05,True,REGULAR,USD
CALLS,7,AMC210716C00008000,2021-07-15 19:47:32,8.0,27.5,0.0,0.0,0.0,0.0,87,239,1.0000000000000003e-05,True,REGULAR,USD
CALLS,8,AMC210716C00009000,2021-07-15 19:31:10,9.0,26.3,0.0,0.0,0.0,0.0,73,60,1.0000000000000003e-05,True,REGULAR,USD
CALLS,9,AMC210716C00010000,2021-07-15 19:58:24,10.0,26.0,0.0,0.0,0.0,0.0,92,332,1.0000000000000003e-05,True,REGULAR,USD
CALLS,10,AMC210716C00011000,2021-07-15 19:56:48,11.0,25.0,0.0,0.0,0.0,0.0,77,540,1.0000000000000003e-05,True,REGULAR,USD
CALLS,11,AMC210716C00012000,2021-07-15 18:13:36,12.0,23.4,0.0,0.0,0.0,0.0,115,691,1.0000000000000003e-05,True,REGULAR,USD
CALLS,12,AMC210716C00013000,2021-07-15 19:31:04,13.0,22.15,0.0,0.0,0.0,0.0,205,575,1.0000000000000003e-05,True,REGULAR,USD
CALLS,13,AMC210716C00014000,2021-07-15 19:56:48,14.0,22.0,0.0,0.0,0.0,0.0,244,260,1.0000000000000003e-05,True,REGULAR,USD
CALLS,14,AMC210716C00015000,2021-07-15 19:57:54,15.0,21.07,0.0,0.0,0.0,0.0,429,1097,1.0000000000000003e-05,True,REGULAR,USD
CALLS,15,AMC210716C00016000,2021-07-15 19:15:47,16.0,18.91,0.0,0.0,0.0,0.0,164,8615,1.0000000000000003e-05,True,REGULAR,USD
CALLS,16,AMC210716C00017000,2021-07-15 19:30:01,17.0,19.05,0.0,0.0,0.0,0.0,202,1216,1.0000000000000003e-05,True,REGULAR,USD
CALLS,17,AMC210716C00018000,2021-07-15 19:53:52,18.0,17.79,0.0,0.0,0.0,0.0,263,933,1.0000000000000003e-05,True,REGULAR,USD
