,,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,0,GME210702C00010000,2021-06-25 13:46:14,10.0,199.6,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,1,GME210702C00020000,2021-05-28 14:05:41,20.0,238.7,186.4,191.75,0.0,0.0,2.0,2,36.07422311340332,True,REGULAR,USD
CALLS,2,GME210702C00030000,2021-06-15 13:44:03,30.0,194.9,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,3,GME210702C00040000,2021-06-23 14:45:17,40.0,178.73,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,4,GME210702C00050000,2021-06-14 13:44:56,50.0,175.25,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,5,GME210702C00060000,2021-06-16 19:48:00,60.0,167.22,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,6,GME210702C00070000,2021-07-01 16:12:33,70.0,140.25,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,7,GME210702C00080000,2021-06-28 14:03:02,80.0,139.6,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,8,GME210702C00090000,2021-06-28 16:15:26,90.0,129.93,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,9,GME210702C00100000,2021-07-01 15:09:07,100.0,111.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,10,GME210702C00110000,2021-06-29 18:25:02,110.0,100.14,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,11,GME210702C00115000,2021-06-29 19:46:19,115.0,95.5,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,12,GME210702C00120000,2021-07-01 19:38:46,120.0,86.05,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,13,GME210702C00125000,2021-06-23 17:56:21,125.0,90.79,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,14,GME210702C00130000,2021-06-29 19:49:32,130.0,80.31,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,15,GME210702C00135000,2021-06-28 16:09:02,135.0,84.3,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,16,GME210702C00136000,2021-06-28 14:03:02,136.0,83.55,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,17,GME210702C00140000,2021-07-01 18:25:33,140.0,64.54,0.0,0.0,0.0,0.0,17.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,18,GME210702C00141000,2021-06-28 13:45:13,141.0,79.45,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,19,GME210702C00144000,2021-07-01 15:42:57,144.0,66.45,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,20,GME210702C00145000,2021-06-22 14:39:21,145.0,72.95,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,21,GME210702C00147000,2021-06-30 14:53:28,147.0,63.0,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,22,GME210702C00148000,2021-06-28 15:36:31,148.0,70.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,23,GME210702C00149000,2021-07-01 18:10:03,149.0,54.7,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,24,GME210702C00150000,2021-07-01 15:21:42,150.0,59.92,0.0,0.0,0.0,0.0,17.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,25,GME210702C00152500,2021-06-30 19:48:29,152.5,61.2,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,26,GME210702C00155000,2021-06-28 14:50:09,155.0,59.42,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,27,GME210702C00157500,2021-06-24 19:32:02,157.5,57.53,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,28,GME210702C00160000,2021-07-01 17:28:46,160.0,47.2,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,29,GME210702C00162500,2021-06-28 18:43:05,162.5,53.9,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
