,,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,0,GME210625C00030000,2021-06-23 19:29:31,30.0,187.76,173.95,177.9,0.0,0.0,1.0,1,19.76562882324219,True,REGULAR,USD
CALLS,1,GME210625C00040000,2021-06-09 15:00:09,40.0,178.68,164.4,167.65,0.0,0.0,2.0,2,15.875000078125,True,REGULAR,USD
CALLS,2,GME210625C00050000,2021-06-22 14:20:11,50.0,172.8,155.0,157.65,0.0,0.0,1.0,0,13.757813901367188,True,REGULAR,USD
CALLS,3,GME210625C00060000,2021-06-23 15:39:35,60.0,166.7,144.25,147.65,0.0,0.0,3.0,3,12.054689965820314,True,REGULAR,USD
CALLS,4,GME210625C00070000,2021-06-24 16:25:07,70.0,147.13,134.5,137.65,0.0,0.0,1.0,2,10.636722102050783,True,REGULAR,USD
CALLS,5,GME210625C00080000,2021-06-16 13:50:27,80.0,132.5,124.55,127.65,0.0,0.0,3.0,3,9.417972863769531,True,REGULAR,USD
CALLS,6,GME210625C00090000,2021-06-24 13:49:36,90.0,135.8,114.3,117.65,0.0,0.0,8.0,1,8.34375478515625,True,REGULAR,USD
CALLS,7,GME210625C00100000,2021-06-24 18:18:50,100.0,114.0,104.7,107.95,0.0,0.0,1.0,16,7.917968852539062,True,REGULAR,USD
CALLS,8,GME210625C00110000,2021-06-24 18:15:25,110.0,105.2,94.55,97.65,0.0,0.0,2.0,1,6.519533100585939,True,REGULAR,USD
CALLS,9,GME210625C00120000,2021-06-24 18:30:07,120.0,94.94,84.85,87.65,0.0,0.0,8.0,23,5.722659096679687,True,REGULAR,USD
CALLS,10,GME210625C00130000,2021-06-23 19:51:58,130.0,90.25,75.0,77.9,0.0,0.0,1.0,17,5.314456481933592,True,REGULAR,USD
CALLS,11,GME210625C00134000,2021-06-15 14:34:15,134.0,85.75,70.7,73.65,0.0,0.0,,1,4.7070353662109365,True,REGULAR,USD
