,,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,0,GME210521C00005000,2021-05-12 16:16:02,5.0,148.7,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,1,GME210521C00010000,2021-03-31 18:40:48,10.0,182.5,162.15,165.2,0.0,0.0,1,0,43.84375314941407,True,REGULAR,USD
CALLS,2,GME210521C00020000,2021-04-27 13:41:05,20.0,164.8,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,3,GME210521C00025000,2021-05-13 15:07:06,25.0,127.75,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,4,GME210521C00030000,2021-05-19 16:25:06,30.0,139.25,0.0,0.0,0.0,0.0,13,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,5,GME210521C00035000,2021-05-11 13:59:00,35.0,130.2,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,6,GME210521C00040000,2021-05-14 18:11:58,40.0,120.8,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,7,GME210521C00045000,2021-05-04 14:04:47,45.0,120.2,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,8,GME210521C00050000,2021-05-19 16:25:06,50.0,119.25,0.0,0.0,0.0,0.0,9,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,9,GME210521C00055000,2021-05-18 18:57:10,55.0,132.8,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,10,GME210521C00060000,2021-05-17 17:06:40,60.0,111.54,0.0,0.0,0.0,0.0,6,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,11,GME210521C00065000,2021-05-20 19:52:39,65.0,105.79,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,12,GME210521C00070000,2021-05-19 16:25:06,70.0,99.25,0.0,0.0,0.0,0.0,4,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,13,GME210521C00075000,2021-05-19 15:54:31,75.0,94.6,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,14,GME210521C00080000,2021-05-20 19:48:40,80.0,90.5,0.0,0.0,0.0,0.0,16,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,15,GME210521C00085000,2021-05-19 16:03:38,85.0,86.4,0.0,0.0,0.0,0.0,3,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,16,GME210521C00090000,2021-05-19 18:04:38,90.0,80.42,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,17,GME210521C00095000,2021-05-18 18:18:27,95.0,71.6,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,18,GME210521C00100000,2021-05-20 17:58:52,100.0,70.54,0.0,0.0,0.0,0.0,4,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,19,GME210521C00105000,2021-05-20 15:22:09,105.0,65.95,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,20,GME210521C00110000,2021-05-20 18:54:41,110.0,59.75,0.0,0.0,0.0,0.0,3,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,21,GME210521C00115000,2021-05-19 19:09:23,115.0,55.09,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,22,GME210521C00120000,2021-05-20 19:40:59,120.0,50.1,0.0,0.0,0.0,0.0,6,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,23,GME210521C00125000,2021-05-19 17:24:32,125.0,45.61,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,24,GME210521C00130000,2021-05-20 18:58:04,130.0,39.89,0.0,0.0,0.0,0.0,7,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,25,GME210521C00135000,2021-05-20 15:06:36,135.0,37.61,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,26,GME210521C00140000,2021-05-20 18:58:04,140.0,31.18,0.0,0.0,0.0,0.0,43,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,27,GME210521C00145000,2021-05-20 16:47:25,145.0,24.38,0.0,0.0,0.0,0.0,6,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,28,GME210521C00150000,2021-05-20 19:56:27,150.0,20.24,0.0,0.0,0.0,0.0,115,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,29,GME210521C00155000,2021-05-20 19:53:07,155.0,15.83,0.0,0.0,0.0,0.0,71,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,30,GME210521C00160000,2021-05-20 19:58:19,160.0,10.15,0.0,0.0,0.0,0.0,210,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,31,GME210521C00165000,2021-05-20 19:56:02,165.0,6.45,0.0,0.0,0.0,0.0,891,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,32,GME210521C00170000,2021-05-20 19:59:43,170.0,3.33,0.0,0.0,0.0,0.0,2298,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,33,GME210521C00175000,2021-05-20 19:59:51,175.0,1.66,0.0,0.0,0.0,0.0,4549,0,0.12500875,False,REGULAR,USD
