,,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,0,GME210423C00005000,2021-04-20 19:24:22,5.0,149.55,140.3,142.65,0.0,0.0,1.0,2,38.92187891845703,True,REGULAR,USD
CALLS,1,GME210423C00010000,2021-04-21 19:29:29,10.0,147.05,135.5,137.65,0.0,0.0,3.0,11,30.046875610351563,True,REGULAR,USD
CALLS,2,GME210423C00015000,2021-04-20 19:24:22,15.0,139.55,130.5,132.65,0.0,0.0,1.0,5,24.97656469482422,True,REGULAR,USD
CALLS,3,GME210423C00020000,2021-04-13 13:55:48,20.0,131.55,125.3,127.65,16.5,14.34159,1.0,0,21.117190900878906,True,REGULAR,USD
CALLS,4,GME210423C00025000,2021-04-20 13:54:52,25.0,131.6,121.05,122.8,0.0,0.0,7.0,12,20.47656610107422,True,REGULAR,USD
CALLS,5,GME210423C00030000,2021-04-22 13:42:03,30.0,126.15,116.05,117.8,0.0,0.0,5.0,14,18.34375426757813,True,REGULAR,USD
CALLS,6,GME210423C00035000,2021-04-13 15:21:37,35.0,119.9,111.05,112.75,0.0,0.0,5.0,4,16.519536087646486,True,REGULAR,USD
CALLS,7,GME210423C00040000,2021-04-21 13:44:11,40.0,116.6,106.0,107.9,0.0,0.0,4.0,18,15.160156774902344,True,REGULAR,USD
CALLS,8,GME210423C00045000,2021-04-21 16:14:13,45.0,108.9,101.05,102.95,0.0,0.0,3.0,8,13.972657517089843,True,REGULAR,USD
CALLS,9,GME210423C00050000,2021-04-22 17:23:16,50.0,98.9,96.05,97.75,0.0,0.0,4.0,3,12.593752128906253,True,REGULAR,USD
CALLS,10,GME210423C00055000,2021-04-23 14:16:26,55.0,91.2,91.05,92.8,-12.550003,-12.096388,8.0,12,11.61328399169922,True,REGULAR,USD
CALLS,11,GME210423C00060000,2021-04-23 13:55:52,60.0,88.36,86.05,87.75,-6.5899963,-6.940491,1.0,16,10.628909606933597,True,REGULAR,USD
CALLS,12,GME210423C00065000,2021-04-14 14:53:55,65.0,88.25,81.05,83.05,0.0,0.0,2.0,1,10.031253730468752,True,REGULAR,USD
