,,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,0,GME210430C00005000,2021-04-29 15:28:25,5.0,170.63,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,1,GME210430C00010000,2021-04-29 15:28:25,10.0,165.68,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2,GME210430C00015000,2021-04-27 13:40:57,15.0,169.95,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,3,GME210430C00020000,2021-04-21 13:32:12,20.0,148.76,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,4,GME210430C00025000,2021-04-26 17:37:16,25.0,148.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,5,GME210430C00030000,2021-04-28 19:12:06,30.0,147.35,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,6,GME210430C00035000,2021-04-29 14:09:07,35.0,138.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,7,GME210430C00040000,2021-04-27 19:44:44,40.0,133.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,8,GME210430C00045000,2021-04-28 13:31:42,45.0,123.8,0.0,0.0,0.0,0.0,12.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,9,GME210430C00050000,2021-04-28 19:07:31,50.0,129.05,0.0,0.0,0.0,0.0,19.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,10,GME210430C00055000,2021-04-28 19:07:44,55.0,117.22,0.0,0.0,0.0,0.0,7.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,11,GME210430C00060000,2021-04-28 19:56:07,60.0,118.0,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,12,GME210430C00065000,2021-04-27 18:52:42,65.0,103.95,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,13,GME210430C00070000,2021-04-29 16:42:17,70.0,102.72,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,14,GME210430C00075000,2021-04-27 18:10:21,75.0,103.8,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,15,GME210430C00080000,2021-04-28 19:07:31,80.0,99.05,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,16,GME210430C00085000,2021-04-27 16:51:59,85.0,89.55,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,17,GME210430C00090000,2021-04-28 19:12:24,90.0,86.75,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,18,GME210430C00095000,2021-04-27 14:14:18,95.0,78.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,19,GME210430C00100000,2021-04-29 18:43:55,100.0,78.67,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,20,GME210430C00105000,2021-04-29 19:39:18,105.0,72.6,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,21,GME210430C00110000,2021-04-29 13:42:03,110.0,65.0,0.0,0.0,0.0,0.0,11.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,22,GME210430C00115000,2021-04-29 15:23:30,115.0,59.65,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,23,GME210430C00120000,2021-04-29 15:30:12,120.0,58.2,0.0,0.0,0.0,0.0,15.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,24,GME210430C00125000,2021-04-29 15:09:31,125.0,48.5,0.0,0.0,0.0,0.0,14.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,25,GME210430C00130000,2021-04-29 16:16:20,130.0,48.0,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,26,GME210430C00134000,2021-04-27 19:33:51,134.0,40.0,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,27,GME210430C00135000,2021-04-29 13:38:24,135.0,44.3,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,28,GME210430C00136000,2021-04-27 18:20:52,136.0,37.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,29,GME210430C00137000,2021-04-28 15:59:07,137.0,35.26,0.0,0.0,0.0,0.0,20.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,30,GME210430C00138000,2021-04-28 14:01:38,138.0,30.5,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,31,GME210430C00139000,2021-04-29 16:21:21,139.0,36.04,0.0,0.0,0.0,0.0,7.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,32,GME210430C00140000,2021-04-29 19:45:52,140.0,37.5,0.0,0.0,0.0,0.0,156.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,33,GME210430C00141000,2021-04-27 19:12:56,141.0,38.76,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,34,GME210430C00142000,2021-04-29 18:49:30,142.0,37.3,0.0,0.0,0.0,0.0,11.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,35,GME210430C00143000,2021-04-28 17:35:49,143.0,36.9,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,36,GME210430C00144000,2021-04-28 16:31:06,144.0,31.3,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,37,GME210430C00145000,2021-04-29 19:56:50,145.0,30.65,0.0,0.0,0.0,0.0,22.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,38,GME210430C00146000,2021-04-29 13:59:09,146.0,28.32,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,39,GME210430C00147000,2021-04-28 19:13:58,147.0,30.5,0.0,0.0,0.0,0.0,45.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,40,GME210430C00148000,2021-04-29 19:12:08,148.0,32.01,0.0,0.0,0.0,0.0,20.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,41,GME210430C00149000,2021-04-29 18:53:22,149.0,30.37,0.0,0.0,0.0,0.0,13.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,42,GME210430C00150000,2021-04-29 19:47:34,150.0,26.5,0.0,0.0,0.0,0.0,76.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,43,GME210430C00152500,2021-04-28 19:56:31,152.5,22.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,44,GME210430C00155000,2021-04-29 19:58:54,155.0,21.94,0.0,0.0,0.0,0.0,84.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,45,GME210430C00157500,2021-04-29 19:57:07,157.5,19.65,0.0,0.0,0.0,0.0,13.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,46,GME210430C00160000,2021-04-29 19:55:50,160.0,17.05,0.0,0.0,0.0,0.0,270.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,47,GME210430C00162500,2021-04-29 19:50:58,162.5,16.55,0.0,0.0,0.0,0.0,43.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,48,GME210430C00165000,2021-04-29 19:59:08,165.0,12.27,0.0,0.0,0.0,0.0,232.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,49,GME210430C00170000,2021-04-29 19:59:24,170.0,8.65,0.0,0.0,0.0,0.0,1265.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,50,GME210430C00172500,2021-04-29 19:55:50,172.5,6.15,0.0,0.0,0.0,0.0,609.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,51,GME210430C00175000,2021-04-29 19:59:23,175.0,4.7,0.0,0.0,0.0,0.0,3266.0,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,52,GME210430C00177500,2021-04-29 19:59:18,177.5,3.55,0.0,0.0,0.0,0.0,1305.0,0,0.0312596875,False,REGULAR,USD
CALLS,53,GME210430C00180000,2021-04-29 19:59:57,180.0,2.8,0.0,0.0,0.0,0.0,8668.0,0,0.12500875,False,REGULAR,USD
CALLS,54,GME210430C00182500,2021-04-29 19:59:16,182.5,2.22,0.0,0.0,0.0,0.0,677.0,0,0.12500875,False,REGULAR,USD
CALLS,55,GME210430C00185000,2021-04-29 19:59:48,185.0,1.77,0.0,0.0,0.0,0.0,2395.0,0,0.2500075,False,REGULAR,USD
CALLS,56,GME210430C00187500,2021-04-29 19:58:53,187.5,1.72,0.0,0.0,0.0,0.0,280.0,0,0.2500075,False,REGULAR,USD
CALLS,57,GME210430C00190000,2021-04-29 19:59:39,190.0,1.29,0.0,0.0,0.0,0.0,1524.0,0,0.2500075,False,REGULAR,USD
CALLS,58,GME210430C00192500,2021-04-29 19:57:31,192.5,1.01,0.0,0.0,0.0,0.0,197.0,0,0.500005,False,REGULAR,USD
CALLS,59,GME210430C00195000,2021-04-29 19:58:30,195.0,0.9,0.0,0.0,0.0,0.0,841.0,0,0.500005,False,REGULAR,USD
CALLS,60,GME210430C00197500,2021-04-29 19:56:49,197.5,0.92,0.0,0.0,0.0,0.0,105.0,0,0.500005,False,REGULAR,USD
CALLS,61,GME210430C00200000,2021-04-29 19:59:44,200.0,0.81,0.0,0.0,0.0,0.0,12319.0,0,0.500005,False,REGULAR,USD
CALLS,62,GME210430C00205000,2021-04-29 19:56:50,205.0,0.69,0.0,0.0,0.0,0.0,528.0,0,0.500005,False,REGULAR,USD
CALLS,63,GME210430C00210000,2021-04-29 19:57:39,210.0,0.6,0.0,0.0,0.0,0.0,595.0,0,0.500005,False,REGULAR,USD
CALLS,64,GME210430C00215000,2021-04-29 19:58:54,215.0,0.54,0.0,0.0,0.0,0.0,299.0,0,0.500005,False,REGULAR,USD
CALLS,65,GME210430C00220000,2021-04-29 19:57:57,220.0,0.47,0.0,0.0,0.0,0.0,1081.0,0,0.500005,False,REGULAR,USD
CALLS,66,GME210430C00225000,2021-04-29 19:56:32,225.0,0.36,0.0,0.0,0.0,0.0,1351.0,0,0.500005,False,REGULAR,USD
CALLS,67,GME210430C00230000,2021-04-29 19:56:51,230.0,0.33,0.0,0.0,0.0,0.0,417.0,0,0.500005,False,REGULAR,USD
CALLS,68,GME210430C00235000,2021-04-29 19:58:21,235.0,0.33,0.0,0.0,0.0,0.0,1480.0,0,0.500005,False,REGULAR,USD
CALLS,69,GME210430C00240000,2021-04-29 19:56:23,240.0,0.28,0.0,0.0,0.0,0.0,442.0,0,0.500005,False,REGULAR,USD
CALLS,70,GME210430C00242500,2021-04-29 18:07:14,242.5,0.42,0.0,0.0,0.0,0.0,26.0,0,0.500005,False,REGULAR,USD
CALLS,71,GME210430C00245000,2021-04-29 19:58:29,245.0,0.25,0.0,0.0,0.0,0.0,106.0,0,0.500005,False,REGULAR,USD
CALLS,72,GME210430C00247500,2021-04-29 19:58:35,247.5,0.23,0.0,0.0,0.0,0.0,40.0,0,0.500005,False,REGULAR,USD
CALLS,73,GME210430C00250000,2021-04-29 19:57:44,250.0,0.2,0.0,0.0,0.0,0.0,3256.0,0,0.500005,False,REGULAR,USD
CALLS,74,GME210430C00252500,2021-04-29 19:43:00,252.5,0.25,0.0,0.0,0.0,0.0,52.0,0,0.500005,False,REGULAR,USD
CALLS,75,GME210430C00255000,2021-04-29 19:49:00,255.0,0.21,0.0,0.0,0.0,0.0,67.0,0,0.500005,False,REGULAR,USD
CALLS,76,GME210430C00257500,2021-04-29 19:34:30,257.5,0.19,0.0,0.0,0.0,0.0,9.0,0,0.500005,False,REGULAR,USD
CALLS,77,GME210430C00260000,2021-04-29 19:40:34,260.0,0.14,0.0,0.0,0.0,0.0,324.0,0,0.500005,False,REGULAR,USD
CALLS,78,GME210430C00262500,2021-04-29 19:34:23,262.5,0.27,0.0,0.0,0.0,0.0,13.0,0,0.500005,False,REGULAR,USD
CALLS,79,GME210430C00265000,2021-04-29 19:25:14,265.0,0.27,0.0,0.0,0.0,0.0,14.0,0,0.500005,False,REGULAR,USD
CALLS,80,GME210430C00267500,2021-04-29 19:57:14,267.5,0.15,0.0,0.0,0.0,0.0,25.0,0,0.500005,False,REGULAR,USD
CALLS,81,GME210430C00270000,2021-04-29 19:59:18,270.0,0.15,0.0,0.0,0.0,0.0,589.0,0,1.000005,False,REGULAR,USD
CALLS,82,GME210430C00272500,2021-04-29 18:55:40,272.5,0.22,0.0,0.0,0.0,0.0,4.0,0,1.000005,False,REGULAR,USD
CALLS,83,GME210430C00275000,2021-04-29 19:55:14,275.0,0.12,0.0,0.0,0.0,0.0,69.0,0,0.500005,False,REGULAR,USD
CALLS,84,GME210430C00277500,2021-04-29 19:32:50,277.5,0.2,0.0,0.0,0.0,0.0,131.0,0,0.500005,False,REGULAR,USD
CALLS,85,GME210430C00280000,2021-04-29 19:38:34,280.0,0.14,0.0,0.0,0.0,0.0,124.0,0,0.500005,False,REGULAR,USD
CALLS,86,GME210430C00282500,2021-04-29 19:14:16,282.5,0.16,0.0,0.0,0.0,0.0,14.0,0,0.500005,False,REGULAR,USD
CALLS,87,GME210430C00285000,2021-04-29 18:14:02,285.0,0.12,0.0,0.0,0.0,0.0,24.0,0,0.500005,False,REGULAR,USD
CALLS,88,GME210430C00287500,2021-04-29 17:57:28,287.5,0.1,0.0,0.0,0.0,0.0,10.0,0,0.500005,False,REGULAR,USD
CALLS,89,GME210430C00290000,2021-04-29 19:27:00,290.0,0.1,0.0,0.0,0.0,0.0,111.0,0,0.500005,False,REGULAR,USD
CALLS,90,GME210430C00295000,2021-04-29 19:45:23,295.0,0.07,0.0,0.0,0.0,0.0,143.0,0,0.500005,False,REGULAR,USD
CALLS,91,GME210430C00300000,2021-04-29 19:58:25,300.0,0.06,0.0,0.0,0.0,0.0,2632.0,0,0.500005,False,REGULAR,USD
