,,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,0,GME210416C00000500,2021-04-15 17:31:04,0.5,156.36,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,1,GME210416C00001000,2021-04-15 14:34:12,1.0,154.0,0.0,0.0,0.0,0.0,12,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2,GME210416C00001500,2021-04-14 19:18:15,1.5,156.0,0.0,0.0,0.0,0.0,5,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,3,GME210416C00002000,2021-03-29 15:20:07,2.0,173.5,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,4,GME210416C00002500,2021-03-25 19:23:40,2.5,174.35,0.0,0.0,0.0,0.0,8,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,5,GME210416C00003000,2021-04-14 15:54:39,3.0,162.4,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,6,GME210416C00003500,2021-04-12 14:03:43,3.5,141.45,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,7,GME210416C00004000,2021-04-08 16:14:16,4.0,172.45,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,8,GME210416C00004500,2021-04-08 13:55:47,4.5,175.4,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,9,GME210416C00005000,2021-04-08 13:36:26,5.0,174.6,0.0,0.0,0.0,0.0,4,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,10,GME210416C00005500,2021-04-12 13:38:16,5.5,154.05,0.0,0.0,0.0,0.0,3,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,11,GME210416C00006000,2021-04-12 14:03:43,6.0,138.95,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,12,GME210416C00007000,2021-04-07 16:47:27,7.0,173.0,0.0,0.0,0.0,0.0,30,0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,13,GME210416C00008000,2021-03-26 15:30:35,8.0,171.65,0.0,0.0,0.0,0.0,6,0,1.0000000000000003e-05,True,REGULAR,USD
